name,0,1,2,3,4,5,6,7,8,9,Mean,Std
rico_23_seq2seq_tree_23_cat_0.1,0.397,0.372,0.382,0.397,0.397,0.384,0.39,0.385,0.405,0.376,0.3885,0.009972462083156806
rico_23_seq2seq_tree_23_cat_0.2,0.404,0.385,0.386,0.398,0.405,0.396,0.384,0.384,0.404,0.375,0.3921,0.010054352291420873
rico_23_seq2seq_tree_23_cat_0.3,0.398,0.389,0.383,0.403,0.397,0.401,0.393,0.399,0.397,0.391,0.39510000000000006,0.0057697486947006675
rico_23_seq2seq_tree_23_cat_0.4,0.384,0.441,0.372,0.4,0.399,0.401,0.383,0.38,0.424,0.393,0.39770000000000005,0.01996021041973255
rico_23_seq2seq_tree_23_cat_0.5,0.459,0.418,0.419,0.453,0.444,0.449,0.41,0.421,0.456,0.443,0.4372,0.017319353336657822
rico_23_seq2seq_tree_23_cat_0.6,0.404,0.423,0.426,0.429,0.422,0.422,0.468,0.405,0.434,0.417,0.425,0.016952875862224676
rico_23_seq2seq_tree_23_cat_0.7,0.419,0.384,0.377,0.391,0.4,0.42,0.389,0.38,0.434,0.396,0.399,0.018193405398660246
rico_23_seq2seq_tree_23_cat_0.8,0.332,0.352,0.327,0.355,0.374,0.347,0.358,0.348,0.349,0.344,0.3485999999999999,0.01245953450173801
rico_23_seq2seq_tree_23_cat_0.9,0.275,0.275,0.294,0.251,0.242,0.263,0.288,0.249,0.252,0.235,0.2624,0.018858419870180002
conv_re_23_conv_se_23_add_0.1,0.338,0.324,0.303,0.276,0.324,0.343,0.367,0.352,0.329,0.366,0.33220000000000005,0.026554848898082618
conv_re_23_conv_se_23_add_0.2,0.368,0.266,0.331,0.261,0.285,0.291,0.314,0.327,0.336,0.362,0.31409999999999993,0.035559668164930905
conv_re_23_conv_se_23_add_0.3,0.303,0.256,0.319,0.287,0.269,0.244,0.297,0.352,0.313,0.324,0.29639999999999994,0.03146490108041021
conv_re_23_conv_se_23_add_0.4,0.293,0.225,0.304,0.273,0.25,0.175,0.292,0.314,0.232,0.277,0.26350000000000007,0.04078541405944042
conv_re_23_conv_se_23_add_0.5,0.276,0.2,0.314,0.276,0.237,0.168,0.232,0.295,0.243,0.245,0.2486,0.04152637715958376
conv_re_23_conv_se_23_add_0.6,0.235,0.184,0.294,0.249,0.226,0.184,0.22,0.244,0.222,0.209,0.22669999999999998,0.030695439400666668
conv_re_23_conv_se_23_add_0.7,0.2,0.178,0.295,0.231,0.197,0.174,0.211,0.26,0.241,0.182,0.2169,0.03744983311044256
conv_re_23_conv_se_23_add_0.8,0.214,0.153,0.221,0.2,0.193,0.126,0.215,0.225,0.176,0.192,0.19150000000000003,0.03022995203436486
conv_re_23_conv_se_23_add_0.9,0.216,0.096,0.185,0.214,0.223,0.185,0.209,0.195,0.188,0.189,0.19,0.034085187398634025
conv_re_23_conv_se_23_cat_0.1,0.301,0.333,0.32,0.235,0.322,0.337,0.342,0.345,0.318,0.369,0.32220000000000004,0.033931696096717597
conv_re_23_conv_se_23_cat_0.2,0.357,0.335,0.35,0.303,0.275,0.309,0.321,0.353,0.315,0.332,0.32499999999999996,0.02436801181877585
conv_re_23_conv_se_23_cat_0.3,0.307,0.254,0.314,0.275,0.254,0.269,0.297,0.344,0.285,0.297,0.2896,0.026758923745173302
conv_re_23_conv_se_23_cat_0.4,0.289,0.258,0.302,0.261,0.252,0.225,0.273,0.338,0.251,0.248,0.2697,0.030718235626415784
conv_re_23_conv_se_23_cat_0.5,0.269,0.225,0.294,0.278,0.23,0.183,0.244,0.29,0.257,0.243,0.25129999999999997,0.03211245864146811
conv_re_23_conv_se_23_cat_0.6,0.236,0.202,0.288,0.261,0.219,0.183,0.223,0.268,0.217,0.209,0.2306,0.030942527369301944
conv_re_23_conv_se_23_cat_0.7,0.24,0.171,0.228,0.224,0.194,0.185,0.218,0.235,0.244,0.224,0.2163,0.023379692042454277
conv_re_23_conv_se_23_cat_0.8,0.212,0.172,0.237,0.216,0.187,0.182,0.22,0.279,0.198,0.196,0.20990000000000003,0.029541326984412877
conv_re_23_conv_se_23_cat_0.9,0.225,0.108,0.202,0.195,0.181,0.181,0.207,0.21,0.178,0.198,0.1885,0.030256404280746916
rico_23_conv_se_23_add_0.1,0.356,0.337,0.309,0.264,0.352,0.341,0.358,0.343,0.327,0.339,0.33259999999999995,0.026650328328183873
rico_23_conv_se_23_cat_0.1,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_23_conv_se_23_add_0.1,0.356,0.336,0.32,0.274,0.319,0.341,0.358,0.343,0.328,0.339,0.3314,0.022821919288263194
seq2seq_23_conv_se_23_cat_0.1,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_tree_23_conv_se_23_add_0.1,0.356,0.336,0.307,0.274,0.32,0.341,0.335,0.345,0.32,0.359,0.3293,0.02405015592465046
seq2seq_tree_23_conv_se_23_cat_0.1,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
rico_23_conv_se_23_add_0.2,0.302,0.337,0.309,0.264,0.354,0.341,0.358,0.343,0.327,0.354,0.32889999999999997,0.02802302624628539
rico_23_conv_se_23_cat_0.2,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_23_conv_se_23_add_0.2,0.313,0.336,0.333,0.274,0.303,0.325,0.358,0.343,0.328,0.339,0.3252,0.022431228232087513
seq2seq_23_conv_se_23_cat_0.2,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_tree_23_conv_se_23_add_0.2,0.356,0.308,0.307,0.264,0.32,0.341,0.356,0.345,0.32,0.379,0.32959999999999995,0.03109083466232452
seq2seq_tree_23_conv_se_23_cat_0.2,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
rico_23_conv_se_23_add_0.3,0.326,0.337,0.309,0.264,0.354,0.341,0.358,0.343,0.368,0.353,0.3353,0.02864280014244417
rico_23_conv_se_23_cat_0.3,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_23_conv_se_23_add_0.3,0.313,0.338,0.333,0.271,0.303,0.325,0.358,0.343,0.328,0.355,0.32669999999999993,0.024637572932413608
seq2seq_23_conv_se_23_cat_0.3,0.356,0.337,0.309,0.264,0.351,0.341,0.358,0.343,0.327,0.339,0.33249999999999996,0.026579127148949038
seq2seq_tree_23_conv_se_23_add_0.3,0.357,0.308,0.307,0.274,0.32,0.341,0.356,0.345,0.276,0.365,0.32489999999999997,0.031433898899118434
seq2seq_tree_23_conv_se_23_cat_0.3,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
rico_23_conv_se_23_add_0.4,0.326,0.337,0.309,0.264,0.354,0.341,0.358,0.343,0.368,0.345,0.33449999999999996,0.028246238687655384
rico_23_conv_se_23_cat_0.4,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_23_conv_se_23_add_0.4,0.351,0.338,0.333,0.271,0.295,0.313,0.36,0.323,0.328,0.355,0.3267,0.02641609357948294
seq2seq_23_conv_se_23_cat_0.4,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.354,0.3309,0.026968314741562915
seq2seq_tree_23_conv_se_23_add_0.4,0.302,0.308,0.307,0.221,0.29,0.319,0.335,0.345,0.276,0.36,0.3063,0.03721303535053275
seq2seq_tree_23_conv_se_23_cat_0.4,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
rico_23_conv_se_23_add_0.5,0.326,0.337,0.309,0.264,0.316,0.319,0.359,0.343,0.368,0.357,0.3298,0.028916431315084503
rico_23_conv_se_23_cat_0.5,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
seq2seq_23_conv_se_23_add_0.5,0.369,0.321,0.294,0.283,0.316,0.313,0.36,0.323,0.328,0.355,0.32619999999999993,0.026505848411246907
seq2seq_23_conv_se_23_cat_0.5,0.356,0.343,0.309,0.264,0.32,0.341,0.358,0.345,0.32,0.354,0.331,0.02745541840875858
seq2seq_tree_23_conv_se_23_add_0.5,0.354,0.338,0.308,0.222,0.324,0.319,0.335,0.352,0.276,0.36,0.31880000000000003,0.04001949524919073
seq2seq_tree_23_conv_se_23_cat_0.5,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.345,0.32,0.354,0.33039999999999997,0.027251421981247134
rico_23_conv_se_23_add_0.6,0.326,0.338,0.309,0.222,0.333,0.319,0.363,0.343,0.337,0.357,0.3247,0.037510131964577254
rico_23_conv_se_23_cat_0.6,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.278,0.339,0.3245,0.030296039345102516
seq2seq_23_conv_se_23_add_0.6,0.328,0.346,0.294,0.249,0.303,0.314,0.36,0.325,0.319,0.36,0.3198,0.03163479097449515
seq2seq_23_conv_se_23_cat_0.6,0.356,0.326,0.309,0.264,0.305,0.341,0.358,0.345,0.32,0.354,0.3278,0.02805637182530912
seq2seq_tree_23_conv_se_23_add_0.6,0.302,0.361,0.288,0.247,0.334,0.319,0.335,0.352,0.338,0.36,0.3236,0.03405642376997327
seq2seq_tree_23_conv_se_23_cat_0.6,0.356,0.343,0.309,0.264,0.305,0.341,0.358,0.345,0.32,0.366,0.33069999999999994,0.029644729717101484
rico_23_conv_se_23_add_0.7,0.36,0.337,0.308,0.252,0.333,0.348,0.345,0.299,0.337,0.357,0.32760000000000006,0.03123523651263105
rico_23_conv_se_23_cat_0.7,0.356,0.343,0.309,0.264,0.305,0.341,0.358,0.345,0.32,0.339,0.32799999999999996,0.027455418408758585
seq2seq_23_conv_se_23_add_0.7,0.36,0.347,0.335,0.251,0.296,0.311,0.332,0.326,0.318,0.355,0.32310000000000005,0.030471133881101304
seq2seq_23_conv_se_23_cat_0.7,0.362,0.36,0.309,0.285,0.322,0.343,0.335,0.336,0.312,0.36,0.3323999999999999,0.024187600128991717
seq2seq_tree_23_conv_se_23_add_0.7,0.302,0.33,0.325,0.247,0.296,0.32,0.334,0.332,0.299,0.363,0.3148,0.029518807563992153
seq2seq_tree_23_conv_se_23_cat_0.7,0.356,0.36,0.309,0.271,0.362,0.341,0.358,0.345,0.319,0.377,0.3398,0.03003597842588118
rico_23_conv_se_23_add_0.8,0.323,0.34,0.288,0.272,0.335,0.368,0.338,0.33,0.337,0.357,0.32880000000000004,0.02752017441805193
rico_23_conv_se_23_cat_0.8,0.356,0.347,0.307,0.264,0.305,0.341,0.358,0.345,0.278,0.36,0.3261,0.03325191723795786
seq2seq_23_conv_se_23_add_0.8,0.351,0.325,0.337,0.282,0.339,0.348,0.327,0.352,0.323,0.353,0.3337,0.020391419764204746
seq2seq_23_conv_se_23_cat_0.8,0.338,0.329,0.322,0.248,0.331,0.331,0.345,0.336,0.327,0.364,0.32709999999999995,0.02863022878008487
seq2seq_tree_23_conv_se_23_add_0.8,0.368,0.324,0.294,0.256,0.29,0.339,0.326,0.331,0.337,0.348,0.32130000000000003,0.030929112499391256
seq2seq_tree_23_conv_se_23_cat_0.8,0.348,0.358,0.306,0.285,0.366,0.325,0.34,0.335,0.328,0.362,0.3353,0.024294237999986746
rico_23_conv_se_23_add_0.9,0.328,0.33,0.317,0.283,0.346,0.332,0.345,0.34,0.323,0.346,0.329,0.018061007723823165
rico_23_conv_se_23_cat_0.9,0.308,0.297,0.333,0.283,0.3,0.337,0.316,0.352,0.344,0.343,0.3213,0.02242342525128577
seq2seq_23_conv_se_23_add_0.9,0.345,0.342,0.356,0.27,0.317,0.346,0.331,0.332,0.341,0.351,0.3331,0.023539116381036895
seq2seq_23_conv_se_23_cat_0.9,0.337,0.327,0.355,0.278,0.345,0.347,0.34,0.308,0.286,0.37,0.32930000000000004,0.028312717990330773
seq2seq_tree_23_conv_se_23_add_0.9,0.362,0.321,0.312,0.274,0.334,0.355,0.347,0.333,0.328,0.346,0.33120000000000005,0.023978323544401502
seq2seq_tree_23_conv_se_23_cat_0.9,0.357,0.347,0.302,0.237,0.352,0.348,0.333,0.349,0.358,0.369,0.33520000000000005,0.0369643071083444
rico_23_conv_re_23_add_0.1,0.222,0.097,0.184,0.192,0.197,0.118,0.147,0.157,0.181,0.197,0.16920000000000004,0.036996756614600695
rico_23_conv_re_23_cat_0.1,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_23_conv_re_23_add_0.1,0.222,0.097,0.185,0.192,0.197,0.118,0.149,0.157,0.181,0.197,0.16950000000000004,0.03692221553482402
seq2seq_23_conv_re_23_cat_0.1,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_tree_23_conv_re_23_add_0.1,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.188,0.181,0.197,0.1694,0.03390339216066735
seq2seq_tree_23_conv_re_23_cat_0.1,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
rico_23_conv_re_23_add_0.2,0.191,0.097,0.184,0.192,0.197,0.118,0.147,0.157,0.163,0.197,0.1643,0.033217615808483314
rico_23_conv_re_23_cat_0.2,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_23_conv_re_23_add_0.2,0.223,0.097,0.193,0.222,0.197,0.118,0.149,0.161,0.181,0.197,0.1738,0.040039480516110594
seq2seq_23_conv_re_23_cat_0.2,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_tree_23_conv_re_23_add_0.2,0.192,0.097,0.157,0.214,0.198,0.118,0.147,0.166,0.181,0.197,0.16670000000000001,0.035625973670904774
seq2seq_tree_23_conv_re_23_cat_0.2,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
rico_23_conv_re_23_add_0.3,0.191,0.097,0.157,0.192,0.178,0.117,0.147,0.161,0.163,0.147,0.155,0.028694947290420308
rico_23_conv_re_23_cat_0.3,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_23_conv_re_23_add_0.3,0.223,0.097,0.184,0.222,0.197,0.118,0.147,0.162,0.181,0.198,0.1729,0.03985586531490692
seq2seq_23_conv_re_23_cat_0.3,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_tree_23_conv_re_23_add_0.3,0.192,0.162,0.157,0.187,0.198,0.118,0.147,0.169,0.171,0.197,0.1698,0.023986662960903925
seq2seq_tree_23_conv_re_23_cat_0.3,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
rico_23_conv_re_23_add_0.4,0.191,0.097,0.194,0.192,0.178,0.117,0.202,0.161,0.163,0.198,0.1693,0.03411172818841051
rico_23_conv_re_23_cat_0.4,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_23_conv_re_23_add_0.4,0.223,0.109,0.188,0.222,0.197,0.118,0.147,0.162,0.181,0.198,0.1745,0.03779748668893212
seq2seq_23_conv_re_23_cat_0.4,0.222,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.17070000000000002,0.03664982946754323
seq2seq_tree_23_conv_re_23_add_0.4,0.192,0.097,0.191,0.222,0.198,0.118,0.2,0.177,0.184,0.197,0.17760000000000004,0.03707074318111252
seq2seq_tree_23_conv_re_23_cat_0.4,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
rico_23_conv_re_23_add_0.5,0.191,0.097,0.194,0.193,0.178,0.118,0.203,0.16,0.164,0.147,0.16449999999999998,0.03330840734709482
rico_23_conv_re_23_cat_0.5,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_23_conv_re_23_add_0.5,0.223,0.097,0.163,0.196,0.188,0.118,0.208,0.171,0.159,0.194,0.17170000000000002,0.03742205232212686
seq2seq_23_conv_re_23_cat_0.5,0.222,0.097,0.184,0.192,0.19,0.118,0.149,0.187,0.181,0.197,0.17170000000000002,0.036562412393057436
seq2seq_tree_23_conv_re_23_add_0.5,0.191,0.107,0.148,0.173,0.203,0.118,0.202,0.175,0.184,0.177,0.1678,0.0315303028846854
seq2seq_tree_23_conv_re_23_cat_0.5,0.222,0.097,0.184,0.188,0.19,0.118,0.149,0.157,0.181,0.198,0.1684,0.0362579646422686
rico_23_conv_re_23_add_0.6,0.216,0.097,0.157,0.192,0.177,0.117,0.2,0.191,0.164,0.147,0.1658,0.03561684994493477
rico_23_conv_re_23_cat_0.6,0.191,0.097,0.184,0.192,0.197,0.118,0.149,0.17,0.181,0.197,0.1676,0.03334126572282462
seq2seq_23_conv_re_23_add_0.6,0.219,0.097,0.163,0.186,0.197,0.118,0.209,0.191,0.164,0.193,0.17370000000000002,0.03722646907779463
seq2seq_23_conv_re_23_cat_0.6,0.222,0.097,0.202,0.192,0.19,0.118,0.149,0.187,0.181,0.198,0.1736,0.037617017425627994
seq2seq_tree_23_conv_re_23_add_0.6,0.185,0.154,0.17,0.195,0.203,0.118,0.202,0.189,0.18,0.172,0.17679999999999998,0.02434255533012096
seq2seq_tree_23_conv_re_23_cat_0.6,0.222,0.097,0.157,0.192,0.19,0.118,0.149,0.158,0.181,0.198,0.16619999999999996,0.03624306830278033
rico_23_conv_re_23_add_0.7,0.215,0.097,0.154,0.197,0.175,0.117,0.2,0.164,0.164,0.179,0.1662,0.03475859605910458
rico_23_conv_re_23_cat_0.7,0.191,0.097,0.157,0.192,0.19,0.118,0.149,0.158,0.181,0.197,0.16299999999999998,0.03236046971228941
seq2seq_23_conv_re_23_add_0.7,0.219,0.108,0.192,0.178,0.181,0.12,0.156,0.186,0.177,0.177,0.16940000000000002,0.03156010139400695
seq2seq_23_conv_re_23_cat_0.7,0.19,0.16,0.171,0.176,0.19,0.118,0.149,0.149,0.181,0.183,0.16670000000000001,0.02168893727225933
seq2seq_tree_23_conv_re_23_add_0.7,0.194,0.089,0.164,0.19,0.205,0.118,0.206,0.185,0.165,0.172,0.1688,0.03610761692496474
seq2seq_tree_23_conv_re_23_cat_0.7,0.222,0.097,0.164,0.188,0.19,0.118,0.21,0.166,0.181,0.198,0.1734,0.03728592227637664
rico_23_conv_re_23_add_0.8,0.201,0.15,0.171,0.197,0.184,0.123,0.201,0.152,0.181,0.191,0.1751,0.024663535837344982
rico_23_conv_re_23_cat_0.8,0.19,0.097,0.184,0.189,0.189,0.118,0.191,0.154,0.159,0.183,0.1654,0.031822004965118084
seq2seq_23_conv_re_23_add_0.8,0.216,0.135,0.192,0.18,0.187,0.175,0.156,0.183,0.165,0.195,0.1784,0.021326978220085467
seq2seq_23_conv_re_23_cat_0.8,0.191,0.158,0.168,0.221,0.201,0.138,0.155,0.173,0.184,0.208,0.1797,0.024714570601165622
seq2seq_tree_23_conv_re_23_add_0.8,0.214,0.106,0.197,0.214,0.196,0.122,0.201,0.18,0.171,0.192,0.1793,0.03515408937805103
seq2seq_tree_23_conv_re_23_cat_0.8,0.191,0.099,0.192,0.196,0.179,0.138,0.21,0.171,0.165,0.206,0.17470000000000002,0.03232352084782844
rico_23_conv_re_23_add_0.9,0.213,0.162,0.167,0.18,0.186,0.131,0.19,0.178,0.154,0.184,0.17449999999999996,0.021242645786248
rico_23_conv_re_23_cat_0.9,0.19,0.107,0.228,0.19,0.183,0.181,0.198,0.183,0.175,0.197,0.18320000000000003,0.02896135355952826
seq2seq_23_conv_re_23_add_0.9,0.201,0.125,0.189,0.197,0.187,0.179,0.154,0.156,0.183,0.186,0.1757,0.022356430842153673
seq2seq_23_conv_re_23_cat_0.9,0.215,0.096,0.179,0.195,0.204,0.182,0.158,0.196,0.156,0.178,0.17589999999999997,0.031998281203839685
